관리번호,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,통합영업상태명,영업상태명,소재지시설전화번호,소재지면적정보,X좌표값,Y좌표값,영업장주변구분명,급수시설구분명,다중이용업소여부,시설총규모정보,카테고리
3760000-101-1999-00060,(미정)시골집,19990610,경기도 수원시 권선구 구운로14번길 25 (구운동),경기도 수원시 권선구 구운동 500-4,16409.0,37.277998653,126.9760716208,영업/정상,영업,031-295-5677,72.07,197804.651568517,419559.592066036,기타,상수도전용,N,72.07,한식
3770000-101-1981-00022,(신)대원옥,19810825,경기도 수원시 팔달구 정조로800번길 6-3 (팔달로1가),경기도 수원시 팔달구 팔달로1가 64-1,16257.0,37.2793458162,127.0173141967,영업/정상,영업,031-255-7493,147.32,201458.826440199,419713.079304219,기타,상수도전용,N,147.32,한식
3760000-101-2008-00054,(원조)명동찌개마을,20080327,"경기도 수원시 권선구 평동로79번길 45, 수원SK V1 motors 145호 (평동)",경기도 수원시 권선구 평동 179,16600.0,37.2598990401,126.9927070619,영업/정상,영업,031-292-8768,88.00,199286.684574214,417546.171737448,,상수도전용,N,88.0,한식
3750000-101-1999-00187,(장안)전주콩나물국밥,19990907,경기도 수원시 장안구 조원로89번길 31 (조원동),경기도 수원시 장안구 조원동 766-11,16286.0,37.2998501693,127.0145541768,영업/정상,영업,031-251-1174,39.95,201222.215093014,421984.36029992,주택가주변,상수도전용,N,39.95,한식
5610000-101-2003-00078,(주) 아름다운 땅,20030212,경기도 수원시 영통구 청명남로4번길 2 (영통동),경기도 수원시 영통구 영통동 1000-8,16705.0,37.2502663275,127.0735299325,영업/정상,영업,031-204-8875,101.20,206452.875942674,416484.694536651,,상수도전용,N,101.2,한식
3760000-101-2020-00174,(주)가온에프앤에스 도이치오토월드점,20200626,"경기도 수원시 권선구 권선로 308-5, B1021,B1095~B1105호 (고색동)",경기도 수원시 권선구 고색동 1191,16602.0,37.2581022749,126.987824855,영업/정상,영업,031-5174-0300,"1,064.92",198848.998045228,417348.818612626,,상수도전용,Y,1064.92,한식
5610000-101-2020-00219,(주)금우돈,20200525,"경기도 수원시 영통구 광교호수공원로 80, 판매제이동 160~167호 (원천동, 광교아이파크)",경기도 수원시 영통구 원천동 593 광교아이파크,16514.0,37.2742096004,127.0617882742,영업/정상,영업,,218.16,205357.807142949,419119.019700523,,,N,218.16,한식
3750000-101-2004-00055,(주)김경자소문난대구왕뽈찜,20040316,"경기도 수원시 장안구 경수대로973번길 13-17, 2층~4층 (송죽동)",경기도 수원시 장안구 송죽동 495-8 2층~4층,16304.0,37.3033360472,127.0052451626,영업/정상,영업,031-245-8259,662.60,200394.291008724,422373.382326167,주택가주변,상수도전용,Y,662.6,한식
3760000-101-2024-00073,(주)내함 한국집 롯데몰 수원점,20240313,"경기도 수원시 권선구 세화로 134, 롯데몰 수원점 3층 (서둔동)",경기도 수원시 권선구 서둔동 381 롯데몰 수원점,16621.0,37.2641013965,126.9973705173,영업/정상,영업,,24.06,199673.378589066,418025.547756245,,,N,24.06,한식
5610000-101-2017-00117,(주)농심 코코이찌방야 롯데몰광교점,20170508,"경기도 수원시 영통구 도청로 10, 3층 (이의동)",경기도 수원시 영통구 이의동 1338,16508.0,37.2865820892,127.0559743208,영업/정상,영업,031-8064-2378,132.50,204888.855554772,420476.391558834,,,Y,132.5,한식
